Criterion,Evidence,Value,Threshold,Status,Notes
C1_max_rho,Maximum Spearman |rho| across 19 features,0.0302,<0.05,PASS,VM_Bandwidth_MBps is max correlated feature
C1_mean_rho,Mean Spearman |rho| across 19 features,0.0106,<0.05,PASS,Near-zero across all features
C1_significant_features,Features with p<0.05,2,<10% expected by chance,PASS,2/19 = 10.5% consistent with random noise
C1_strong_features,Features with |rho|>0.10,0,0,PASS,No meaningful predictors
C2_KATS_Kappa,KATS Cohen Kappa,0.0159,~0,PASS,No learning above chance
C2_best_Kappa,Best model (B3-RF) Kappa,0.0253,~0,PASS,Near-zero across all 6 models
C2_MacroF1_range,MacroF1 range across all models,0.3278-0.3454,~0.333,PASS,Consistent with 3-class random baseline
C2_KATS_Brier,KATS Brier Score,0.2309,~0.222 (random),PASS,Near random-guess Brier for 3-class
C3_label_source,Label generation mechanism,Task_Priority random {1-2-3},Exogenous,PASS,Scheduler assigns without feature dependency
C3_dataset_type,Dataset type,Simulation (not real ops),Real,PASS,CloudTask is synthetic benchmark
VERDICT,All 3 criteria met,PASS,PASS,VALID_NEGATIVE_CONTROL,CloudTask is a legitimate negative control
