Dataset,Model,N_train,MacroF1,Notes
ITIncident,KATS,100,0.9596,
ITIncident,KATS,200,0.9777,
ITIncident,KATS,400,0.9978,
ITIncident,KATS,800,0.9987,Saturation point - delta < 0.005
ITIncident,KATS,1600,0.9989,
ITIncident,KATS,3200,0.9989,
ITIncident,KATS,6400,0.9989,
ITIncident,KATS,19934,1.0000,
ITIncident,B4-LGB,100,0.9885,
ITIncident,B4-LGB,200,0.9886,
ITIncident,B4-LGB,400,0.9987,
ITIncident,B4-LGB,800,0.9987,
ITIncident,B4-LGB,1600,0.9987,
ITIncident,B4-LGB,3200,0.9987,
ITIncident,B4-LGB,6400,1.0000,
ITIncident,B4-LGB,19934,1.0000,
CloudTask,KATS,100,0.3398,Unlearnable - no saturation
CloudTask,KATS,200,0.3296,Saturation at N=200 - confirms no signal
CloudTask,KATS,400,0.3201,
CloudTask,KATS,800,0.3301,
CloudTask,KATS,1600,0.3511,
CloudTask,KATS,3200,0.3526,
CloudTask,KATS,4800,0.3477,
CloudTask,B4-LGB,100,0.3415,
CloudTask,B4-LGB,200,0.3206,
CloudTask,B4-LGB,400,0.3108,
CloudTask,B4-LGB,800,0.3294,
CloudTask,B4-LGB,1600,0.3546,
CloudTask,B4-LGB,3200,0.3504,
CloudTask,B4-LGB,4800,0.3447,
