Dataset,Variant,RecallHigh,MacroF1,DeltaRecallH
CloudTask,T_Full,0.408,0.3382,0.0
CloudTask,T_NoSMOTE,0.408,0.3382,0.0
CloudTask,T_NoAsymLoss,0.372,0.3394,-0.036
CloudTask,T_NoCalibNB,0.378,0.3369,-0.03
CloudTask,T_NoStacking,0.3165,0.3338,-0.0915
GoogleCluster,T_Full,0.9992,0.9993,0.0
GoogleCluster,T_NoSMOTE,0.9992,0.9993,0.0
GoogleCluster,T_NoAsymLoss,0.9993,0.9993,0.0001
GoogleCluster,T_NoCalibNB,0.9992,0.9993,0.0
GoogleCluster,T_NoStacking,0.9992,0.9993,0.0
ITIncident,T_Full,0.8441,0.3726,0.0
ITIncident,T_NoSMOTE,0.9794,0.3011,0.1353
ITIncident,T_NoAsymLoss,0.4721,0.4719,-0.3721
ITIncident,T_NoCalibNB,0.8118,0.3711,-0.0324
ITIncident,T_NoStacking,0.5926,0.4886,-0.2515
MultiCloud,T_Full,0.4187,0.3618,0.0
MultiCloud,T_NoSMOTE,0.4187,0.3618,0.0
MultiCloud,T_NoAsymLoss,0.434,0.3829,0.0152
MultiCloud,T_NoCalibNB,0.4098,0.3643,-0.009
MultiCloud,T_NoStacking,0.3253,0.3128,-0.0934
CICIDS2017,T_Full,0.9338,0.5494,0.0
CICIDS2017,T_NoSMOTE,0.9327,0.541,-0.0012
CICIDS2017,T_NoAsymLoss,0.9021,0.6993,-0.0317
CICIDS2017,T_NoCalibNB,0.9338,0.5513,0.0
CICIDS2017,T_NoStacking,0.9977,0.9964,0.0638
