Dataset,ComparedTo,b10,b01,ChiSquared,pvalue,Significant
CloudTask,B1-LogReg,1056,29,970.208,0.0000,yes
CloudTask,B2-DecTree,28,22,0.500,0.4795,no
CloudTask,B3-RF,37,9,15.848,0.0001,yes
CloudTask,B4-LGB,9,11,0.050,0.8231,no
CloudTask,B5-MLP,62,45,2.393,0.1219,no
GoogleCluster,B1-LogReg,37052,9,37023.010,0.0000,yes
GoogleCluster,B2-DecTree,147,19,97.163,0.0000,yes
GoogleCluster,B3-RF,17,7,3.375,0.0662,no
GoogleCluster,B4-LGB,7,14,1.714,0.1904,no
GoogleCluster,B5-MLP,318,16,271.260,0.0000,yes
ITIncident,B1-LogReg,0,1,0.000,1.0000,no
ITIncident,B2-DecTree,0,1,0.000,1.0000,no
ITIncident,B3-RF,3,0,1.333,0.2482,no
ITIncident,B4-LGB,0,1,0.000,1.0000,no
ITIncident,B5-MLP,4,1,0.800,0.3711,no
MultiCloud,B1-LogReg,76,70,0.171,0.6790,no
MultiCloud,B2-DecTree,219,33,135.813,0.0000,yes
MultiCloud,B3-RF,111,21,60.008,0.0000,yes
MultiCloud,B4-LGB,85,29,26.535,0.0000,yes
MultiCloud,B5-MLP,22,85,35.925,0.0000,yes
