Dataset,Model,RecallH_mean,RecallH_std,PrecH,MacroF1,Kappa
CloudTask,KATS,0.9941,0.0020,0.9898,0.9876,0.9815
CloudTask,B1-LogReg,0.8652,0.0174,0.8270,0.8161,0.7246
CloudTask,B2-DecTree,0.9922,0.0042,0.9927,0.9866,0.9800
CloudTask,B3-RF,0.9951,0.0016,0.9841,0.9829,0.9745
CloudTask,B4-LGB,0.9946,0.0024,0.9912,0.9880,0.9820
CloudTask,B5-MLP,0.9936,0.0037,0.9932,0.9847,0.9772
GoogleCluster,KATS,1.0000,0.0000,0.9998,0.9999,0.9998
GoogleCluster,B1-LogReg,0.8849,0.0236,0.9058,0.9007,0.8597
GoogleCluster,B2-DecTree,0.9994,0.0001,0.9995,0.9996,0.9993
GoogleCluster,B3-RF,0.9999,0.0001,0.9998,0.9999,0.9998
GoogleCluster,B4-LGB,0.9999,0.0000,0.9998,0.9999,0.9998
GoogleCluster,B5-MLP,0.9987,0.0003,0.9991,0.9991,0.9987
ITIncident,KATS,1.0000,0.0000,0.9985,0.9997,0.9996
ITIncident,B1-LogReg,1.0000,0.0000,1.0000,1.0000,1.0000
ITIncident,B2-DecTree,1.0000,0.0000,1.0000,1.0000,1.0000
ITIncident,B3-RF,1.0000,0.0000,1.0000,0.9991,0.9986
ITIncident,B4-LGB,1.0000,0.0000,1.0000,1.0000,1.0000
ITIncident,B5-MLP,0.9985,0.0029,0.9985,0.9990,0.9986
MultiCloud,KATS,0.9218,0.0288,0.9146,0.8922,0.8380
MultiCloud,B1-LogReg,0.9067,0.0317,0.8842,0.8853,0.8290
MultiCloud,B2-DecTree,0.7532,0.0443,0.7815,0.7070,0.5591
MultiCloud,B3-RF,0.8463,0.0182,0.8706,0.8017,0.7030
MultiCloud,B4-LGB,0.8794,0.0320,0.8889,0.8351,0.7540
MultiCloud,B5-MLP,0.9578,0.0113,0.9616,0.9549,0.9325
